,latitude,longitude,name
40197,34.06857,-118.22006,Cute City Apartment. Great Location. Room Azul
80457,40.73517,-73.92008,Big private room in Sunnyside NYC 7 min Subway
139187,32.81267,-117.26037,Private Ensuite w/ Private Entrance in Beach House
54607,33.85521509854736,-118.1757322423748,Spacious Room in Stylish Home
89573,40.60016,-73.75288,200 feet St John's Hospital- 20 minutes from JFK
97074,40.59284,-73.94095,Lovely 1-Bed Room Rental in Brooklyn
92119,40.5881,-73.81427,Peaceful top bedroom in bungalow w/ patio & sauna
115374,37.33375,-121.88813,Magnificent San Jose! 2 Amazing Units w/ Pool!
138783,32.81086,-117.16253,Cozy private room #1
103367,40.70951,-73.89618,Calm Private Bedroom
53223,33.95234,-118.34616,"Bright, Charming Bedroom in LA-walk to SOFI/FORUM"
17917,29.97142,-90.04884,Lofty Room/Bath in New Marigny Near French Quarter
78091,40.77855,-73.83217,SPACIOUS CLEAN ROOM 15 MINUTES FROM MAIN STREET
230247,37.5334,-122.30439,Big guest  Room
56333,34.69151,-118.19724,Clean&Cozy Private Room-Shared Bath-West Lancaster
166035,30.28357,-97.74426,Luxury Apartment in West Campus-Master bedroom
70439,40.71187,-73.95777,Private Room in “Hipster Times Square”
66435,34.12232,-118.06945,Deluxe bedroom with bathroom mountain view
202975,26.19404,-80.21369,Quiet Beautiful Home .This home is in a safe Place
113555,37.4322,-122.12987,Palo Alto-1 bedroom Near Stanford University
141405,36.1012,-86.71968,KURT COBAIN ROOM! ~5 Miles To Downtown-30 day min.
227942,42.28377,-71.12212,Private floor with home office in a house w/ dogs
142436,36.14225,-86.89088,Nashville Waterfront Tom Petty Room! - 30 day min.
225740,42.3165,-71.09563,"Stylish, modern duplex near Orange Line, Downtown"
73152,40.68678,-73.95572,Private Bedroom in Bedstuy!
125043,41.81148,-71.42014,"The William Crins house,"
213185,36.10531,-115.16704,"888 # 59, MGM Signature Deluxe Suite."
99639,40.64391,-74.01392,Peaceful night's rest w/ Private Bath
172485,30.44319,-97.7488,A Rm in New Renovated House Close to Apple Campus
117778,35.572029,-82.592979,Private entrance - 2 rooms with 2 full baths WAVL
190609,44.93415,-93.15467,Private room with private bathroom. 1-4 adults.
206879,26.3090924,-80.1122583,"Quiet, clean and cozy getaway."
24514,34.07953,-118.18555,Paradise Getaway! Secluded Hill with no neighbors!
159628,41.87719,-87.70246,x7LB2a32 Cozy Night's Stay -Queen Bedroom
203231,26.11511,-80.25506,"Elegantly Designed Room for Groups! W/ Pool, Gym"
182739,45.52052572632377,-122.6810692804006,"Portland Art Museum Tour! Pets Allowed, Parking!"
6215,37.80881,-122.41402,Great Relaxing Overnight Stay! 4 Awesome units!
13435,37.77338,-122.18887,Foreign & Domestic travelers aloha!
136061,32.64022,-116.93635,Cozy private room/ bath In Eastlake.Separate entry
228467,42.35097828970424,-71.06962969259033,"Small Room, Big Adventure!"
39715,34.20144,-118.32964,Unique and Cozy bedroom
53298,34.06832,-118.12977,Comfortable & affordable basement private room R5
10302,38.91536,-77.03728,"Stay b/w Dupont, Logan Cir, U St, CoHi, & AdMo!"
93726,40.75951,-73.91088,Spacious Master Bedroom w. Bathroom
75665,40.71897,-73.90467,Purple room
52046,34.016517996075166,-117.86910655509249,"Comfy Room&Private Bath,Disney"
73715,40.81062,-73.93882,"Cozy, Modern, Private Room in the Heart of Harlem"
70100,40.71652,-73.99801,Canal Street bedroom
105047,40.74948,-73.97871,Urban Oasis! 3 Accessible Units Near Central Park!
228178,42.27188,-71.08839,private room and studio in Boston Massachusetts us
52278,34.08326,-118.3392,Luxury Loft on Melrose! Hollywood
110965,37.33924,-121.93804,Boutique Room.4/Bay Area/Santa Clara
201937,26.10005,-80.1395,Private city view paradise near beach & downtown!
205839,26.10326,-80.13659,Deluxe King Room (ADA) - Lauderdale Boutique Hotel
101204,40.80338,-73.95311,Spacious condo 3 bedroom in Harlem!
19647,29.9821,-90.10547,Private Bed + Bath in Midcity Cottage
71482,40.76409,-73.99091,Cosy Master bedroom in Midtown West
180774,45.52464,-122.66039,KEX Portland-Family Room Ensuite
178528,45.56061,-122.6565,Alberta Arts Room Overlooking Lush Backyard
142218,36.17927,-86.74204,East Nashville Private Suite - 2.5 mi to downtown
83990,40.69095,-73.91184,Bushwick Enclave with Backyard - ByCrochet
154067,39.78025,-104.75199,Clark Family - Cozy rm 15 mins 2 DIA & CU Hospital
